song_name,artist_names,genres,parent_genres,album,release_date,spotify_track_id,album_label,ISRC,yearly_streams,artist_ids
Wonderful Christmastime [Edited Version] - Remastered 2011 / Edited Version,Paul McCartney,,,McCartney II (Special Edition),1980-05-16,7Lbxvt42JsNSKVCaN63qhD,Paul McCartney Catalog,GBCCS1000181,16558162,4STHEaNw4mPZ2tzheohgXB
Body,Megan Thee Stallion,,,Good News,2020-11-20,0A1hoCfMLkiAgvhWkkucJa,300 Entertainment,QMCE32000683,52053669,181bsRPaVXVlUKXrxwZfHK
Happy Xmas (War Is Over) - Remastered 2010,"John Lennon, Yoko Ono",christmas,Jazz,Signature Box,2010-10-05,27RYrbL6S02LNVhDWVl38b,EMI Catalogue,GBAYE1000862,60999532,"4x1nvY2FN8jxqAFA0DA02H, 2s4tjL6W3qrblOe0raIzwJ"
Si Me Tomo Una Cerveza,"Migrantes, Alico","cumbia, cuarteto, rkt, turreo",Latin,Si Me Tomo una Cerveza,2020-11-07,3lCbsHaN1wCxyDzcNN2x4N,LEB Records,QMFME2040289,28675743,"48R2gYdPKtfnfKAzhSVPUx, 7n3wAgh1j3RRbxYzfZTQDF"
Line Without a Hook,Ricky Montgomery,,,Montgomery Ricky,2016-04-08,5jvgec3P4jyoZUPTy2pWDR,Ricky Montgomery Records,USA2P1624696,672173,0ZUvK7zGdXLd78mQr3t1Tw
Dancing in My Room,347aidan,,,Dancing in My Room,2020-10-26,6Pgmqg15yVexuOgtzuxwoX,Columbia,USQX92004785,7720969,0bBz5bRBkExaej2HxtVfCw
Kings & Queens,Ava Max,,,Heaven & Hell,2020-09-18,7a53HqqArd4b9NF4XAmlbI,Atlantic Records,USAT21906943,8850113,4npEfmQ6YuiwW1GpUmaq3F
Space Legend,Porky Slim,,,Space Legend,2020-10-23,2ShRJbppDksFugwquBFyjx,Pork Rinds Productions,TCAFE2062663,1693166,4ohRzp7ZzPQi3PzCiBrDAm
Jingle Bell Rock,Bobby Helms,christmas,Jazz,Jingle Bell Rock/Captain Santa Claus (And His Reindeer Space Patrol),1957-12-02,7vQbuQcyTflfCIOu3Uzzya,Geffen,USMC15746480,111130486,38EmEgXkgK51MT2tPY0EoC
Hecha Pa' Mi,Boza,"reggaeton, urbano latino",Latin,Más Negro Que Rojo,2020-07-31,3VvA1wSxukMLsvXoXtlwWx,Sony Music Latin,USSD12000196,49207475,2NfSBtmWe7oPw1EmetJVso
The Christmas Song (Merry Christmas To You),Nat King Cole,"christmas, adult standards, vocal jazz","Easy listening, Jazz",The Christmas Song (Expanded Edition),1962-00-00,4PS1e8f2LvuTFgUs1Cn3ON,CAPITOL CATALOG MKT (C92),USCA29900551,49858165,7v4imS0moSyGdXyLgVTIV7
DÁKITI,"Bad Bunny, JHAYCO","reggaeton, trap latino, latin, urbano latino",Latin,EL ÚLTIMO TOUR DEL MUNDO,2020-11-27,4MzXwWMhyBbmu6hOcLVD49,Rimas Entertainment LLC,QMFME2004132,206698796,"4q3ewBCX7sLwd24euuV69X, 6nVcHLIgY5pE2YCl8ubca1"
LA NOCHE DE ANOCHE,"Bad Bunny, ROSALÍA","reggaeton, trap latino, latin, urbano latino",Latin,EL ÚLTIMO TOUR DEL MUNDO,2020-11-27,2XIc1pqjXV3Cr2BQUGNBck,Rimas Entertainment LLC,QMFME2066840,112757630,"4q3ewBCX7sLwd24euuV69X, 7ltDVBr6mKbRvohxheJ9h1"
