artist_1,artist_2,count,song_ids
Kendrick Lamar,Zacari,1,['6PGoSes0D9eUDeeAafB2As']
Bebe Rexha,X Ambassadors,1,['0OI7AFifLSoGzpb8bdBLLV']
Bebe Rexha,mgk,1,['0OI7AFifLSoGzpb8bdBLLV']
X Ambassadors,mgk,1,['0OI7AFifLSoGzpb8bdBLLV']
BloodPop®,Justin Bieber,1,['7nZmah2llfvLDiUjm0kiyz']
Miguel,Travis Scott,1,['5WoaF1B5XIEnWfmb5NZikf']
Funk Wav,Pharrell Williams,1,['5bcTCxgc7xVfSaMV3RuVke']
Jason Derulo,Ty Dolla $ign,1,['6kex4EBAj0WHXDKZMEJaaF']
Nicki Minaj,Ty Dolla $ign,1,['6kex4EBAj0WHXDKZMEJaaF']
Alessia Cara,Zedd,1,['0I20rLT2MJDhcF96AjbNYo']
Funk Wav,Katy Perry,1,['5bcTCxgc7xVfSaMV3RuVke']
Calvin Harris,Frank Ocean,1,['7tr2za8SQg2CI8EDgrdtNl']
Calvin Harris,Migos,1,['7tr2za8SQg2CI8EDgrdtNl']
Frank Ocean,Funk Wav,1,['7tr2za8SQg2CI8EDgrdtNl']
Frank Ocean,Migos,1,['7tr2za8SQg2CI8EDgrdtNl']
Funk Wav,Migos,1,['7tr2za8SQg2CI8EDgrdtNl']
Daya,The Chainsmokers,1,['0QsvXIfqM0zZoerQfsI9lm']
Kygo,Selena Gomez,1,['3eR23VReFzcdmS7TYCrhCe']
Daddy Yankee,Nicky Jam,1,['0ERbK7qVqveCaBWIiYCrl3']
Daddy Yankee,Romeo Santos,1,['0ERbK7qVqveCaBWIiYCrl3']
Nicky Jam,Romeo Santos,1,['0ERbK7qVqveCaBWIiYCrl3']
BTS,Desiigner,1,['7Ed6BkggCS2KaKY5YlINaF']
Calvin Harris,Pharrell Williams,1,['5bcTCxgc7xVfSaMV3RuVke']
Desiigner,Steve Aoki,1,['7Ed6BkggCS2KaKY5YlINaF']
Dalmata,Sebastian Yatra,1,['5TmZYdHW6HJ9gt7Aokuql5']
Calvin Harris,Katy Perry,1,['5bcTCxgc7xVfSaMV3RuVke']
Marvin Gaye,Tammi Terrell,1,['7tqhbajSfrz2F7E1Z75ASX']
Macklemore,Skylar Grey,1,['0CokSRCu5hZgPxcZBaEzVE']
Jonas Blue,William Singe,1,['0NiXXAI876aGImAd6rTj8w']
Ed Sheeran,Future,1,['2x0WlnmfG39ZuDmstl9xfX']
Ed Sheeran,Taylor Swift,1,['2x0WlnmfG39ZuDmstl9xfX']
Future,Taylor Swift,1,['2x0WlnmfG39ZuDmstl9xfX']
Big Sean,Pharrell Williams,1,['5bcTCxgc7xVfSaMV3RuVke']
Arcángel,Chris Jedi,1,['22eADXu8DfOAUEDw4vU8qy']
Arcángel,J Balvin,1,['22eADXu8DfOAUEDw4vU8qy']
Arcángel,Ozuna,1,['22eADXu8DfOAUEDw4vU8qy']
Chris Jedi,J Balvin,1,['22eADXu8DfOAUEDw4vU8qy']
Big Sean,Katy Perry,1,['5bcTCxgc7xVfSaMV3RuVke']
Big Sean,Funk Wav,1,['5bcTCxgc7xVfSaMV3RuVke']
CADE,Cheat Codes,1,['1NDxZ7cFAo481dtYWdrUnR']
CADE,Maggie Lindemann,1,['1NDxZ7cFAo481dtYWdrUnR']
Cheat Codes,Maggie Lindemann,1,['1NDxZ7cFAo481dtYWdrUnR']
Gente De Zona,Jesse & Joy,1,['0yyZN5ASdrYu0XYWFzfxUu']
