spotify_track_id,song,artist,genres,parent_genres,album,time,all_streams,years_on_chart,song_type
39JofJHEtg8I4fSyo7Imft,B.O.T.A. (Baddest Of Them All) - Edit,"Eliza Rose,Interplanetary Criminal","house, uk garage, breakbeat",Electronic,B.O.T.A. (Baddest Of Them All),03:46,103548916,2022,Collaboration
39L3LdlHS3gqB62HPWaJRg,NO ME QUIERO CASAR,Bad Bunny,"reggaeton, trap latino, latin, urbano latino",Latin,nadie sabe lo que va a pasar mañana,03:45,38102496,2023,Solo
39LLxExYz6ewLAcYrzQQyP,Levitating,Dua Lipa,pop,Pop,Future Nostalgia,03:23,269604164,2020,Solo
39LLxExYz6ewLAcYrzQQyP,Levitating,Dua Lipa,pop,Pop,Future Nostalgia,03:23,269604164,2021,Solo
39LLxExYz6ewLAcYrzQQyP,Levitating,Dua Lipa,pop,Pop,Future Nostalgia,03:23,269604164,2022,Solo
39LmTF9RgyakzSYX8txrow,imagine,Ariana Grande,pop,Pop,"thank u, next",03:32,67462701,2019,Solo
39MK3d3fonIP8Mz9oHCTBB,"Annihilate (Spider-Man: Across the Spider-Verse) (Metro Boomin & Swae Lee, Lil Wayne, Offset)","Metro Boomin,Swae Lee,Lil Wayne,Offset","rap, hip hop, ",Hip Hop,METRO BOOMIN PRESENTS SPIDER-MAN: ACROSS THE SPIDER-VERSE (SOUNDTRACK FROM AND INSPIRED BY THE MOTION PICTURE),03:51,138792424,2023,Collaboration
39N9RPD9MRb5WmoLzNzPeA,X,"Nicky Jam,J Balvin","reggaeton, latin",Latin,X,02:53,476282186,2018,Collaboration
39N9RPD9MRb5WmoLzNzPeA,X,"Nicky Jam,J Balvin","reggaeton, latin",Latin,X,02:53,476282186,2019,Collaboration
39Yp9wwQiSRIDOvrVg7mbk,THE SCOTTS,"THE SCOTTS,Travis Scott,Kid Cudi","rap, ",Hip Hop,THE SCOTTS,02:45,376767616,2020,Collaboration
39Yp9wwQiSRIDOvrVg7mbk,THE SCOTTS,"THE SCOTTS,Travis Scott,Kid Cudi","rap, ",Hip Hop,THE SCOTTS,02:45,376767616,2021,Collaboration
39kzWAiVPpycdMpr745oPj,You Never Know,BLACKPINK,k-pop,Pop,THE ALBUM,03:51,18075363,2020,Solo
3A7qX2QjDlPnazUsRk5y0M,2U (feat. Justin Bieber),"David Guetta,Justin Bieber","edm, dance, ",Electronic,2U (feat. Justin Bieber),03:14,412343233,2017,Collaboration
3A7qX2QjDlPnazUsRk5y0M,2U (feat. Justin Bieber),"David Guetta,Justin Bieber","edm, dance, ",Electronic,2U (feat. Justin Bieber),03:14,412343233,2018,Collaboration
3AEZUABDXNtecAOSC1qTfo,Reggaetón Lento (Bailemos),CNCO,"reggaeton, latin",Latin,Primera Cita,03:42,225770154,2017,Solo
3AOf6YEpxQ894FmrwI9k96,Super,SEVENTEEN,k-pop,Pop,SEVENTEEN 10th Mini Album 'FML',03:20,64217916,2023,Solo
