artist_name,artist_id,genres,num_hits,num_collab_hits
Bing Crosby,6ZjFtWeHP9XN7FeKSUe80S,"big band, christmas, easy listening, jazz, swing music",8,3
Ken Darby Singers,69UfPJgUmFFAVT740qGVZi,"christmas, jazz",1,1
John Scott Trotter & His Orchestra,735L650pvygCZZlPMyHqsN,"christmas, jazz",1,1
Paul McCartney,4STHEaNw4mPZ2tzheohgXB,,1,0
Chris Rea,5KEG7G8LDYlHgFDqZyEEs2,"christmas, jazz",1,0
John Lennon,4x1nvY2FN8jxqAFA0DA02H,"christmas, jazz",1,1
Yoko Ono,2s4tjL6W3qrblOe0raIzwJ,"christmas, jazz",1,1
Frank Sinatra,1Mxqyy3pSjf8kZZL4QVxS0,"adult standards, big band, christmas, easy listening, jazz, swing music, vocal jazz",6,1
B. Swanson Quartet,0JXiS2FrAg3wQYJHcmZdrc,"adult standards, big band, christmas, easy listening, jazz, swing music, vocal jazz",1,1
Band Aid,35S20clEkkSNUo23ViaslZ,"christmas, jazz",1,0
Nat King Cole,7v4imS0moSyGdXyLgVTIV7,"adult standards, christmas, easy listening, jazz, vocal jazz",5,0
Perry Como,5v8jlSmAQfrkTjAlpUfWtu,"adult standards, christmas, easy listening, jazz",2,1
The Fontane Sisters,1Ml4OuStDoympbREURAM15,"adult standards, christmas, easy listening, jazz",1,1
Mitchell Ayres & His Orchestra,0HS96tPggl2nwiz3gNWWI5,"adult standards, christmas, easy listening, jazz",1,1
Darlene Love,391oLRVmoTkumiN79HkTWu,"christmas, jazz",2,0
Elvis Presley,43ZHCT0cAZBISjO8DG9PnE,"rock, rock and roll, rockabilly",2,0
The Jackson 5,2iE18Oxc8YSumAU232n4rW,"christmas, jazz, motown, r&b",2,0
John Williams,3dRfiJ2650SZu6GbydcHNb,"easy listening, soundtrack",1,0
RAYE,5KKpBU5eC2tJDzf0wmlRp2,,2,2
070 Shake,12Zk1DFhCbHY6v3xep2ZjI,,2,2
New West,69bG9tC62d8oTFC9aTTosn,,1,0
INTERWORLD,5hKGLu4Ik88FzWcTPhWNTN,"drift phonk, electronic, hip hop, phonk",1,0
