Artist,Genres,num_hits,num_collab_hits
Wiz Khalifa,"hip hop, pop, rap",1,1
Lukas Graham,,1,0
Benson Boone,,7,0
Sam Fender,,1,1
Eladio Carrion,"argentine trap, hip hop, latin, reggaeton, trap, trap latino, urbano latino",4,2
Kygo,"electronic, tropical house",3,3
Ava Max,"electronic, tropical house",4,2
Milo j,"argentine trap, hip hop, latin, trap, trap latino, urbano latino",3,2
Ofenbach,,1,1
Norma Jean Martine,,1,1
KHEA,"argentine trap, cuarteto, cumbia, hip hop, latin, trap, trap latino, urbano latino",3,3
PEDRO SAMPAIO,"brazilian funk, brazilian pop, brega funk, funk, funk carioca, funk pop, hip hop, pop, r&b",1,0
Jubin Nautiyal,"bhajan, bollywood, desi, desi pop, devotional, hindi pop, hip hop, new age, pop",1,1
Payal Dev,"bhajan, bollywood, desi, desi pop, devotional, hindi pop, hip hop, new age, pop",1,1
Manoj Muntashir,"bhajan, bollywood, desi, desi pop, devotional, hindi pop, hip hop, new age, pop",1,1
Chris Brown,r&b,1,0
Christian Nodal,"banda, corrido, corridos bélicos, corridos tumbados, electro corridos, grupera, latin, mariachi, música mexicana, norteño, ranchera, sad sierreño",1,1
Blessd,"latin, reggaeton, trap latino, urbano latino",5,5
Justin Timberlake,,1,0
Ice Spice,"drill, electronic, grime, hip hop, pop, uk drill",2,1
Megan Thee Stallion,"hip hop, j-rap, k-pop, k-rap, pop",4,3
YG Marley,,2,0
4batz,"hip hop, rap",2,1
Rich Amiri,"hip hop, rage rap",1,0
Michael Marcagi,,1,0
Good Neighbours,,2,0
TWICE,"k-pop, pop",3,1
Blake Roman,,2,2
Sam Haft,,2,2
Andrew Underberg,,2,2
Keith David,,1,1
Luke Combs,country,6,3
Jason Mraz,"acoustic pop, pop, soft pop",1,0
Toby Keith,country,2,0
Tracy Chapman,,1,0
Mitraz,"desi, desi pop, hindi indie, hindi pop, hip hop, indian indie, pop, rock",1,0
TWENTY SIX,"electronic, latin house, tech house",2,2
Tayson Kryss,"electronic, latin house, tech house",2,2
Geolier,"canzone napoletana, folk/acoustic, hip hop, italian trap, neomelodico, traditional music",1,1
Michelangelo,"canzone napoletana, folk/acoustic, hip hop, italian trap, neomelodico, traditional music",1,1
Annalisa,"italo dance, pop",2,0
Mahmood,,2,0
Angelina Mango,,1,0
Irama,,1,0
Roddy Ricch,"hip hop, melodic rap, west coast hip hop",3,2
¥$,"drill, hip hop, rage rap, rap, trap",40,40
Ty Dolla $ign,"drill, hip hop, rage rap, rap, trap",41,41
North West,"hip hop, rap",0,0
Ivete Sangalo,"axé, brazilian pop, funk, funk carioca, funk pop, hip hop, latin, mpb, pagode, pagode baiano, pop, r&b, samba",1,1
LUDMILLA,"agronejo, axé, brazilian pop, country, funk, funk carioca, funk pop, hip hop, latin, mpb, pagode, pagode baiano, piseiro, pop, r&b, samba, sertanejo, sertanejo universitário",2,2
